county,stateid,Total_Cases
Ocean,34,9890
Passaic,34,17127
Salem,34,821
Somerset,34,5057
Sussex,34,1236
Union,34,16297
Warren,34,1267
Bernalillo,35,3362
Catron,35,3
Chaves,35,186
Cibola,35,256
Colfax,35,10
Curry,35,271
De Baca,35,0
Dona Ana,35,1571
Eddy,35,154
Grant,35,44
Guadalupe,35,20
Harding,35,1
Hidalgo,35,75
Lea,35,299
Lincoln,35,29
Los Alamos,35,13
Luna,35,133
McKinley,35,3689
Mora,35,2
Otero,35,84
Quay,35,19
Rio Arriba,35,147
Roosevelt,35,83
Sandoval,35,867
San Juan,35,2766
San Miguel,35,28
Santa Fe,35,380
Sierra,35,17
Socorro,35,65
Taos,35,61
Torrance,35,49
Union,35,14
Valencia,35,206
Albany,36,2280
Allegany,36,69
Bronx,36,48496
Broome,36,852
Cattaraugus,36,141
Cayuga,36,128
Chautauqua,36,186
Chemung,36,151
Chenango,36,175
Clinton,36,111
Columbia,36,489
Cortland,36,61
Delaware,36,92
Dutchess,36,4337
Erie,36,7891
Essex,36,51
Franklin,36,37
Fulton,36,266
Genesee,36,254
Greene,36,271
Hamilton,36,6
Herkimer,36,197
Jefferson,36,100
Kings,36,61012
Lewis,36,32
Livingston,36,151
Madison,36,376
Monroe,36,4281
Montgomery,36,141
Nassau,36,42462
New York,36,29442
Niagara,36,1356
Oneida,36,1860
Onondaga,36,3203
Ontario,36,312
Orange,36,10878
Orleans,36,288
Oswego,36,226
Otsego,36,91
Putnam,36,1382
Queens,36,66643
Rensselaer,36,632
Richmond,36,14389
Rockland,36,13743
St. Lawrence,36,234
Saratoga,36,623
Schenectady,36,891
Schoharie,36,62
Schuyler,36,15
Seneca,36,76
Steuben,36,279
Suffolk,36,42267
Sullivan,36,1467
Tioga,36,163
Tompkins,36,198
Ulster,36,1888
Warren,36,284
Washington,36,250
Wayne,36,221
Westchester,36,35394
Wyoming,36,103
Yates,36,50
Alamance,37,1535
Alexander,37,186
Alleghany,37,44
Anson,37,218
Ashe,37,67
Avery,37,36
Beaufort,37,163
Bertie,37,161
Bladen,37,457
Brunswick,37,853
Buncombe,37,957
Burke,37,1245
Cabarrus,37,1754
Caldwell,37,685
Camden,37,42
Carteret,37,152
Caswell,37,156
Catawba,37,1327
Chatham,37,1072
Cherokee,37,91
Chowan,37,39
Clay,37,16
Cleveland,37,558
Columbus,37,650
Craven,37,483
Cumberland,37,1729
Currituck,37,33
Dare,37,123
Davidson,37,1296
Davie,37,259
Duplin,37,1720
Durham,37,4733
Edgecombe,37,409
Forsyth,37,3850
Franklin,37,533
Gaston,37,2003
Gates,37,30
Graham,37,10
Granville,37,974
Greene,37,238
Guilford,37,3840
Halifax,37,433
Harnett,37,815
Haywood,37,142
Henderson,37,982
Hertford,37,181
Hoke,37,482
Hyde,37,31
Iredell,37,1195
Jackson,37,221
Johnston,37,2218
Jones,37,39
Lee,37,952
Lenoir,37,439
Lincoln,37,473
McDowell,37,339
Macon,37,337
Madison,37,18
Martin,37,173
Mecklenburg,37,15950
Mitchell,37,57
Montgomery,37,417
Moore,37,653
Nash,37,686
New Hanover,37,1594
Northampton,37,200
Onslow,37,454
Orange,37,1015
Pamlico,37,39
Pasquotank,37,258
Pender,37,425
Perquimans,37,40
Person,37,135
Pitt,37,1000
Polk,37,101
Randolph,37,1580
Richmond,37,375
Robeson,37,1731
Rockingham,37,322
Rowan,37,1578
Rutherford,37,422
Sampson,37,1228
Scotland,37,177
Stanly,37,597
Stokes,37,176
Surry,37,604
Swain,37,73
Transylvania,37,61
Tyrrell,37,62
Union,37,1942
Vance,37,593
Wake,37,7971
Warren,37,193
Washington,37,54
Watauga,37,142
Wayne,37,2039
Wilkes,37,640
Wilson,37,1024
Yadkin,37,395
Yancey,37,63
Adams,38,0
Barnes,38,25
Benson,38,16
Billings,38,1
Bottineau,38,7
Bowman,38,1
Burke,38,7
Burleigh,38,478
Cass,38,2522
Cavalier,38,18
Dickey,38,6
Divide,38,1
Dunn,38,26
Eddy,38,5
Emmons,38,5
Foster,38,3
Golden Valley,38,1
Grand Forks,38,462
Grant,38,4
Griggs,38,2
Hettinger,38,2
Kidder,38,4
LaMoure,38,14
Logan,38,1
McHenry,38,9
McIntosh,38,8
McKenzie,38,43
McLean,38,12
Mercer,38,9
Morton,38,140
Mountrail,38,84
Nelson,38,2
Oliver,38,2
Pembina,38,15
Pierce,38,8
Ramsey,38,23
Ransom,38,21
Renville,38,7
Richland,38,47
Rolette,38,12
Sargent,38,8
Sheridan,38,2
Sioux,38,39
Slope,38,3
Stark,38,103
Steele,38,4
Stutsman,38,69
Towner,38,3
Traill,38,28
Walsh,38,65
Ward,38,78
Wells,38,11
Williams,38,99
Adams,39,30
Allen,39,399
Ashland,39,87
Ashtabula,39,453
Athens,39,220
Auglaize,39,113
Belmont,39,572
Brown,39,64
Butler,39,1975
Carroll,39,72
Champaign,39,61
Clark,39,840
Clermont,39,552
Clinton,39,97
Columbiana,39,1411
Coshocton,39,155
Crawford,39,140
Cuyahoga,39,9784
Darke,39,262
Defiance,39,58
Delaware,39,806
Erie,39,317
Fairfield,39,773
Fayette,39,58
Franklin,39,12823
Fulton,39,72
Gallia,39,24
Geauga,39,447
Greene,39,385
Guernsey,39,83
Hamilton,39,7279
Hancock,39,98
Hardin,39,126
Harrison,39,13
Henry,39,38
Highland,39,58
Hocking,39,90
Holmes,39,267
Huron,39,271
Jackson,39,33
Jefferson,39,135
Knox,39,61
Lake,39,661
Lawrence,39,97
Licking,39,640
Logan,39,75
Lorain,39,1226
Lucas,39,3162
Madison,39,233
Mahoning,39,2007
Marion,39,2759
Medina,39,633
Meigs,39,15
Mercer,39,307
Miami,39,536
Monroe,39,89
Montgomery,39,2724
Morgan,39,13
Morrow,39,130
Muskingum,39,110
Noble,39,14
Ottawa,39,235
Paulding,39,38
Perry,39,52
Pickaway,39,2246
Pike,39,31
Portage,39,518
Preble,39,97
Putnam,39,148
Richland,39,403
Ross,39,158
Sandusky,39,186
Scioto,39,87
Seneca,39,44
Shelby,39,77
Stark,39,1271
Summit,39,2459
Trumbull,39,1084
Tuscarawas,39,641
Union,39,128
Van Wert,39,51
Vinton,39,24
Warren,39,1098
Washington,39,153
Wayne,39,384
Williams,39,78
Wood,39,519
Wyandot,39,68
Adair,40,160
Alfalfa,40,1
Atoka,40,42
Beaver,40,32
Beckham,40,25
Blaine,40,22
Bryan,40,199
Caddo,40,214
Canadian,40,594
Carter,40,203
Cherokee,40,138
Choctaw,40,131
Cimarron,40,1
Cleveland,40,1526
Coal,40,12
Comanche,40,570
Cotton,40,13
Craig,40,29
Creek,40,231
Custer,40,93
Delaware,40,270
Dewey,40,4
Ellis,40,2
Garfield,40,138
Garvin,40,140
Grady,40,264
Grant,40,3
Greer,40,71
Harmon,40,4
Harper,40,2
Haskell,40,19
Hughes,40,16
Jackson,40,128
Jefferson,40,19
Johnston,40,21
Kay,40,133
Kingfisher,40,54
Kiowa,40,18
Latimer,40,25
Le Flore,40,75
Lincoln,40,49
Logan,40,111
Love,40,49
McClain,40,271
McCurtain,40,651
McIntosh,40,88
Major,40,16
Marshall,40,49
Mayes,40,148
Murray,40,28
Muskogee,40,228
Noble,40,55
Nowata,40,41
Okfuskee,40,20
Oklahoma,40,5591
Okmulgee,40,196
Osage,40,228
Ottawa,40,190
Pawnee,40,75
Payne,40,493
Pittsburg,40,83
Pontotoc,40,93
Pottawatomie,40,178
Pushmataha,40,35
Roger Mills,40,0
Rogers,40,368
Seminole,40,80
Sequoyah,40,73
Stephens,40,102
Texas,40,1007
Tillman,40,27
Tulsa,40,5626
Wagoner,40,410
Washington,40,474
Washita,40,12
Woods,40,11
Woodward,40,15
Baker,41,13
Benton,41,117
Clackamas,41,1051
Clatsop,41,56
Columbia,41,59
Coos,41,58
Crook,41,20
Curry,41,9
Deschutes,41,288
Douglas,41,70
Gilliam,41,2
Grant,41,1
Harney,41,2
Hood River,41,109
Jackson,41,196
Jefferson,41,171
Josephine,41,65
Klamath,41,141
Lake,41,24
Lane,41,324
Lincoln,41,362
Linn,41,186
Malheur,41,449
Marion,41,1975
Morrow,41,165
Multnomah,41,3095
Polk,41,184
Sherman,41,5
Tillamook,41,20
Umatilla,41,1141
Union,41,376
Wallowa,41,15
Wasco,41,121
Washington,41,1994
Wheeler,41,0
Yamhill,41,217
Adams,42,399
Allegheny,42,5610
Armstrong,42,94
Beaver,42,884
Bedford,42,94
Berks,42,4744
Blair,42,113
Bradford,42,61
Bucks,42,6189
Butler,42,444
Cambria,42,143
Cameron,42,5
Carbon,42,306
Centre,42,262
Chester,42,4108
Clarion,42,66
Clearfield,42,96
Clinton,42,100
Columbia,42,424
Crawford,42,101
Cumberland,42,982
Dauphin,42,2325
Delaware,42,7651
Elk,42,31
Erie,42,747
Fayette,42,220
Forest,42,7
Franklin,42,1019
Fulton,42,19
Greene,42,75
Huntingdon,42,263
Indiana,42,168
Jefferson,42,41
Juniata,42,116
Lackawanna,42,1771
Lancaster,42,4906
Lawrence,42,207
Lebanon,42,1476
Lehigh,42,4465
Luzerne,42,3036
Lycoming,42,252
McKean,42,20
Mercer,42,203
Mifflin,42,74
Monroe,42,1482
Montgomery,42,8972
Montour,42,81
Northampton,42,3582
Northumberland,42,352
Perry,42,96
Philadelphia,42,23263
Pike,42,508
Potter,42,19
Schuylkill,42,782
Snyder,42,74
Somerset,42,86
Sullivan,42,10
Susquehanna,42,195
Tioga,42,31
Union,42,108
Venango,42,49
Warren,42,11
Washington,42,494
Wayne,42,143
Westmoreland,42,1054
Wyoming,42,48
York,42,1908
Bristol,44,256
Kent,44,1234
Newport,44,331
Providence,44,13144
Washington,44,538
Abbeville,45,165
Aiken,45,870
Allendale,45,92
Anderson,45,1177
Bamberg,45,223
Barnwell,45,155
Beaufort,45,2171
Berkeley,45,2512
Calhoun,45,175
Charleston,45,8461
Cherokee,45,283
Chester,45,305
Chesterfield,45,476
Clarendon,45,521
Colleton,45,519
Darlington,45,610
Dillon,45,407
Dorchester,45,1713
Edgefield,45,141
Fairfield,45,384
Florence,45,1756
Georgetown,45,914
Greenville,45,7623
Greenwood,45,866
Hampton,45,122
Horry,45,6241
Jasper,45,291
Kershaw,45,897
Lancaster,45,668
Laurens,45,819
Lee,45,356
Lexington,45,3197
McCormick,45,56
Marion,45,344
Marlboro,45,345
Newberry,45,462
Oconee,45,474
Orangeburg,45,1300
Pickens,45,1251
Richland,45,5334
Saluda,45,303
Spartanburg,45,2745
Sumter,45,1580
Union,45,170
Williamsburg,45,538
York,45,2059
Aurora,46,34
Beadle,46,557
Bennett,46,4
Bon Homme,46,13
Brookings,46,96
Brown,46,362
Brule,46,34
Buffalo,46,86
Butte,46,3
Campbell,46,1
Charles Mix,46,98
Clark,46,16
Clay,46,94
Codington,46,96
Corson,46,22
Custer,46,11
Davison,46,57
Day,46,19
Deuel,46,5
Dewey,46,38
Douglas,46,10
Edmunds,46,9
Fall River,46,13
Faulk,46,24
Grant,46,17
Gregory,46,6
Haakon,46,1
Hamlin,46,13
Hand,46,7
Hanson,46,14
Harding,46,0
Hughes,46,73
Hutchinson,46,18
Hyde,46,3
Jackson,46,7
Jerauld,46,39
Jones,46,1
Kingsbury,46,8
Lake,46,41
Lawrence,46,21
Lincoln,46,404
Lyman,46,82
McCook,46,19
McPherson,46,6
Marshall,46,5
Meade,46,54
Mellette,46,10
Miner,46,10
Minnehaha,46,3796
Moody,46,24
Oglala Lakota,46,118
Pennington,46,674
Perkins,46,1
Potter,46,0
Roberts,46,59
Sanborn,46,12
Shannon,46,0
Spink,46,14
Stanley,46,14
Sully,46,1
Todd,46,65
Tripp,46,19
Turner,46,30
Union,46,156
Walworth,46,16
Yankton,46,88
Ziebach,46,3
Anderson,47,236
Bedford,47,646
Benton,47,24
Bledsoe,47,634
Blount,47,381
Bradley,47,1096
Campbell,47,77
Cannon,47,65
Carroll,47,63
Carter,47,128
Cheatham,47,311
Chester,47,91
Claiborne,47,86
Clay,47,28
Cocke,47,175
Coffee,47,162
Crockett,47,75
Cumberland,47,241
Davidson,47,14550
Decatur,47,44
DeKalb,47,119
Dickson,47,308
Dyer,47,326
Fayette,47,404
Fentress,47,35
Franklin,47,127
Gibson,47,237
Giles,47,143
Grainger,47,65
Greene,47,173
Grundy,47,68
Hamblen,47,551
Hamilton,47,3721
Hancock,47,15
Hardeman,47,480
Hardin,47,154
Hawkins,47,103
Haywood,47,155
Henderson,47,114
Henry,47,57
Hickman,47,118
Houston,47,25
Humphreys,47,53
Jackson,47,62
Jefferson,47,219
Johnson,47,48
Knox,47,1915
Lake,47,698
Lauderdale,47,218
Lawrence,47,262
Lewis,47,13
Lincoln,47,111
Loudon,47,353
McMinn,47,313
McNairy,47,138
Macon,47,670
Madison,47,409
Marion,47,104
Marshall,47,141
Maury,47,529
Meigs,47,40
Monroe,47,162
Montgomery,47,906
Moore,47,26
Morgan,47,37
Obion,47,144
Overton,47,86
Perry,47,45
Pickett,47,8
Polk,47,61
Putnam,47,1108
Rhea,47,362
Roane,47,100
Robertson,47,1010
Rutherford,47,3944
Scott,47,31
Sequatchie,47,54
Sevier,47,978
Shelby,47,14891
Smith,47,202
Stewart,47,34
Sullivan,47,290
Sumner,47,2189
Tipton,47,740
Trousdale,47,1516
Unicoi,47,61
Union,47,31
Van Buren,47,14
Warren,47,183
Washington,47,321
Wayne,47,130
Weakley,47,87
White,47,116
Williamson,47,2119
Wilson,47,1338
Anderson,48,1944
Andrews,48,174
Angelina,48,834
Aransas,48,65
Archer,48,12
Armstrong,48,3
Atascosa,48,289
Austin,48,141
Bailey,48,112
Bandera,48,46
Bastrop,48,862
Baylor,48,1
Bee,48,173
Bell,48,2396
Bexar,48,17458
Blanco,48,57
Borden,48,0
Bosque,48,43
Bowie,48,536
Brazoria,48,3988
Brazos,48,3120
Brewster,48,159
Briscoe,48,9
Brooks,48,45
Brown,48,240
Burleson,48,156
Burnet,48,278
Caldwell,48,749
Calhoun,48,177
Callahan,48,28
Cameron,48,4590
Camp,48,144
Carson,48,10
Cass,48,72
Castro,48,130
Chambers,48,618
Cherokee,48,417
Childress,48,7
Clay,48,19
Cochran,48,8
Coke,48,5
Coleman,48,5
Collin,48,4800
Collingsworth,48,6
Colorado,48,182
Comal,48,1077
Comanche,48,34
Concho,48,15
Cooke,48,100
Coryell,48,418
Cottle,48,4
Crane,48,64
Crockett,48,41
Crosby,48,35
Culberson,48,7
Dallam,48,129
Dallas,48,35914
Dawson,48,94
Deaf Smith,48,424
Delta,48,9
Denton,48,4316
DeWitt,48,188
Dickens,48,2
Dimmit,48,39
Donley,48,33
Duval,48,89
Eastland,48,20
Ector,48,1370
Edwards,48,10
Ellis,48,1811
El Paso,48,10298
Erath,48,257
Falls,48,57
Fannin,48,150
Fayette,48,179
Fisher,48,16
Floyd,48,61
Foard,48,1
Fort Bend,48,5211
Franklin,48,61
Freestone,48,83
Frio,48,341
Gaines,48,46
Galveston,48,6307
Garza,48,39
Gillespie,48,70
Glasscock,48,6
Goliad,48,33
Gonzales,48,355
Gray,48,135
Grayson,48,771
Gregg,48,889
Grimes,48,691
Guadalupe,48,1115
Hale,48,808
Hall,48,2
Hamilton,48,39
Hansford,48,40
Hardeman,48,6
Hardin,48,488
Harris,48,49027
Harrison,48,458
Hartley,48,61
Haskell,48,17
Hays,48,3699
Hemphill,48,22
Henderson,48,335
Hidalgo,48,8197
Hill,48,177
Hockley,48,111
Hood,48,218
Hopkins,48,99
Houston,48,192
Howard,48,76
Hudspeth,48,18
Hunt,48,768
Hutchinson,48,84
Irion,48,3
Jack,48,13
Jackson,48,97
Jasper,48,88
Jeff Davis,48,6
Jefferson,48,3868
Jim Hogg,48,41
Jim Wells,48,350
Johnson,48,932
Jones,48,609
Karnes,48,90
Kaufman,48,1109
Kendall,48,106
Kenedy,48,3
Kent,48,1
Kerr,48,193
Kimble,48,9
King,48,0
Kinney,48,3
Kleberg,48,197
Knox,48,11
Lamar,48,418
Lamb,48,92
Lampasas,48,44
La Salle,48,87
Lavaca,48,351
Lee,48,103
Leon,48,104
Liberty,48,577
Limestone,48,110
Lipscomb,48,12
Live Oak,48,85
Llano,48,53
Loving,48,0
Lubbock,48,3823
Lynn,48,55
McCulloch,48,25
McLennan,48,2920
McMullen,48,1
Madison,48,158
Marion,48,64
Martin,48,28
Mason,48,36
Matagorda,48,392
Maverick,48,874
Medina,48,419
Menard,48,14
Midland,48,1266
Milam,48,187
Mills,48,7
Mitchell,48,27
Montague,48,32
Montgomery,48,3471
Moore,48,921
Morris,48,54
Motley,48,2
Nacogdoches,48,633
Navarro,48,486
Newton,48,26
Nolan,48,71
Nueces,48,7032
Ochiltree,48,62
Oldham,48,4
Orange,48,498
Palo Pinto,48,79
Panola,48,234
Parker,48,665
Parmer,48,236
Pecos,48,151
Polk,48,380
Potter,48,3081
Presidio,48,28
Rains,48,21
Randall,48,1133
Reagan,48,39
Real,48,6
Red River,48,123
Reeves,48,82
Refugio,48,56
Roberts,48,6
Robertson,48,124
Rockwall,48,505
Runnels,48,28
Rusk,48,263
Sabine,48,34
San Augustine,48,130
San Jacinto,48,109
San Patricio,48,352
San Saba,48,9
Schleicher,48,25
Scurry,48,350
Shackelford,48,9
Shelby,48,312
Sherman,48,33
Smith,48,1499
Somervell,48,30
Starr,48,1061
Stephens,48,16
Sterling,48,0
Stonewall,48,0
Sutton,48,26
Swisher,48,60
Tarrant,48,19014
Taylor,48,794
Terrell,48,2
Terry,48,59
Throckmorton,48,2
Titus,48,919
Tom Green,48,1135
Travis,48,15998
Trinity,48,84
Tyler,48,45
Upshur,48,109
Upton,48,10
Uvalde,48,261
Val Verde,48,657
Van Zandt,48,216
Victoria,48,1991
Walker,48,2495
Waller,48,269
Ward,48,55
Washington,48,367
Webb,48,3211
Wharton,48,368
Wheeler,48,22
Wichita,48,648
Wilbarger,48,20
Willacy,48,410
Williamson,48,4153
Wilson,48,220
Winkler,48,47
Wise,48,210
Wood,48,154
Yoakum,48,44
Young,48,64
Zapata,48,103
Zavala,48,70
Beaver,49,12
Box Elder,49,240
Cache,49,1620
Carbon,49,21
Daggett,49,0
Davis,49,2016
Duchesne,49,30
Emery,49,10
Garfield,49,20
Grand,49,28
Iron,49,391
Juab,49,42
Kane,49,26
Millard,49,90
Morgan,49,34
Piute,49,4
Rich,49,4
Salt Lake,49,15306
San Juan,49,489
Sanpete,49,75
Sevier,49,63
Summit,49,597
Tooele,49,370
Uintah,49,46
Utah,49,5637
Wasatch,49,465
Washington,49,1709
Wayne,49,0
Weber,49,1749
Addison,50,70
Bennington,50,76
Caledonia,50,23
Chittenden,50,667
Essex,50,5
Franklin,50,110
Grand Isle,50,13
Lamoille,50,40
Orange,50,10
Orleans,50,14
Rutland,50,78
Washington,50,44
Windham,50,99
Windsor,50,64
Accomack,51,1045
Albemarle,51,583
Alleghany,51,53
Amelia,51,55
Amherst,51,42
Appomattox,51,48
Arlington,51,2677
Augusta,51,218
Bath,51,1
Bedford,51,174
Bland,51,3
Botetourt,51,161
Brunswick,51,143
Buchanan,51,48
Buckingham,51,577
Campbell,51,70
Caroline,51,147
Carroll,51,263
Charles City,51,42
Charlotte,51,38
Chesterfield,51,3324
Clarke,51,61
Craig,51,9
Culpeper,51,872
Cumberland,51,60
Dickenson,51,7
Dinwiddie,51,162
Essex,51,66
Fairfax,51,14653
Fauquier,51,498
Floyd,51,25
Fluvanna,51,139
Franklin,51,115
Frederick,51,565
Giles,51,18
Gloucester,51,79
Goochland,51,135
Grayson,51,95
Greene,51,88
Greensville,51,384
Halifax,51,89
Hanover,51,491
Henrico,51,2947
Henry,51,381
Highland,51,3
Isle of Wight,51,240
James City,51,388
King and Queen,51,31
King George,51,105
King William,51,59
Lancaster,51,22
Lee,51,26
Loudoun,51,4519
Louisa,51,143
Lunenburg,51,42
Madison,51,48
Matthews,51,7
Mecklenburg,51,267
Middlesex,51,18
Montgomery,51,201
Nelson,51,27
New Kent,51,76
Northampton,51,275
Northumberland,51,47
Nottoway,51,135
Orange,51,167
Page,51,309
Patrick,51,52
Pittsylvania,51,187
Powhatan,51,100
Prince Edward,51,238
Prince George,51,276
Prince William,51,7947
Pulaski,51,55
Rappahannock,51,33
Richmond,51,309
Roanoke,51,342
Rockbridge,51,41
Rockingham,51,803
Russell,51,26
Scott,51,17
Shenandoah,51,619
Smyth,51,46
Southampton,51,186
Spotsylvania,51,1094
Stafford,51,1085
Surry,51,21
Sussex,51,219
Tazewell,51,34
Warren,51,317
Washington,51,90
Westmoreland,51,186
Wise,51,48
Wythe,51,62
York,51,180
Alexandria,51,2486
Bristol,51,14
Buena,51,25
Charlottesville,51,318
Chesapeake,51,1441
Colonial Heights,51,163
Covington,51,5
Danville,51,148
Emporia,51,146
Fairfax,51,74
Falls Church,51,54
Franklin,51,80
Fredericksburg,51,288
Galax,51,292
Hampton,51,592
Harrisonburg,51,996
Hopewell,51,212
Lexington,51,20
Lynchburg,51,200
Manassas,51,1497
Manassas Park,51,463
Martinsville,51,123
Newport News,51,900
Norfolk,51,1742
Norton,51,4
Petersburg,51,348
Poquoson,51,23
Portsmouth,51,794
Radford,51,18
Richmond,51,2473
Roanoke,51,612
Salem,51,100
Staunton,51,106
Suffolk,51,633
Virginia Beach,51,2137
Waynesboro,51,129
Williamsburg,51,87
Winchester,51,361
Adams,53,252
Asotin,53,21
Benton,53,2622
Chelan,53,611
Clallam,53,62
Clark,53,1125
Columbia,53,9
Cowlitz,53,311
Douglas,53,407
Ferry,53,4
Franklin,53,2550
Garfield,53,2
Grant,53,873
Grays Harbor,53,56
Island,53,209
Jefferson,53,50
King,53,12325
Kitsap,53,316
Kittitas,53,200
Klickitat,53,79
Lewis,53,108
Lincoln,53,4
Mason,53,66
Okanogan,53,242
Pacific,53,18
Pend Oreille,53,13
Pierce,53,3395
San Juan,53,22
Skagit,53,644
Skamania,53,36
Snohomish,53,4122
Spokane,53,2276
Stevens,53,30
Thurston,53,394
Wahkiakum,53,5
Walla Walla,53,244
Whatcom,53,732
Whitman,53,48
Yakima,53,8436
Barbour,54,23
Berkeley,54,550
Boone,54,46
Braxton,54,5
Brooke,54,33
Cabell,54,204
Calhoun,54,4
Clay,54,13
Doddridge,54,0
Fayette,54,89
Gilmer,54,13
Grant,54,21
Greenbrier,54,74
Hampshire,54,45
Hancock,54,50
Hardy,54,48
Harrison,54,131
Jackson,54,148
Jefferson,54,261
Kanawha,54,454
Lewis,54,24
Lincoln,54,12
Logan,54,41
McDowell,54,12
Marion,54,119
Marshall,54,72
Mason,54,26
Mercer,54,67
Mineral,54,70
Mingo,54,36
Monongalia,54,638
Monroe,54,15
Morgan,54,20
Nicholas,54,20
Ohio,54,158
Pendleton,54,18
Pleasants,54,5
Pocahontas,54,38
Preston,54,107
Putnam,54,94
Raleigh,54,86
Randolph,54,194
Ritchie,54,2
Roane,54,12
Summers,54,2
Taylor,54,23
Tucker,54,7
Tyler,54,10
Upshur,54,33
Wayne,54,137
Webster,54,1
Wetzel,54,38
Wirt,54,6
Wood,54,195
Wyoming,54,7
Adams,55,45
Ashland,55,8
Barron,55,54
Bayfield,55,11
Brown,55,3348
Buffalo,55,21
Burnett,55,5
Calumet,55,165
Chippewa,55,145
Clark,55,121
Columbia,55,129
Crawford,55,46
Dane,55,3242
Dodge,55,537
Door,55,65
Douglas,55,64
Dunn,55,59
Eau Claire,55,351
Florence,55,5
Fond du Lac,55,405
Forest,55,49
Grant,55,223
Green,55,110
Green Lake,55,43
Iowa,55,47
Iron,55,21
Jackson,55,37
Jefferson,55,384
Juneau,55,59
Kenosha,55,1831
Kewaunee,55,86
La Crosse,55,618
Lafayette,55,84
Langlade,55,11
Lincoln,55,24
Manitowoc,55,167
Marathon,55,312
Marinette,55,126
Marquette,55,55
Menominee,55,10
Milwaukee,55,14679
Monroe,55,145
Oconto,55,101
Oneida,55,38
Outagamie,55,719
Ozaukee,55,340
Pepin,55,18
Pierce,55,113
Polk,55,74
Portage,55,260
Price,55,9
Racine,55,2418
Richland,55,17
Rock,55,1081
Rusk,55,12
St. Croix,55,297
Sauk,55,191
Sawyer,55,15
Shawano,55,104
Sheboygan,55,326
Taylor,55,25
Trempealeau,55,194
Vernon,55,42
Vilas,55,17
Walworth,55,815
Washburn,55,6
Washington,55,510
Waukesha,55,1878
Waupaca,55,196
Waushara,55,48
Winnebago,55,804
Wood,55,112
Albany,56,53
Big Horn,56,30
Campbell,56,93
Carbon,56,29
Converse,56,28
Crook,56,8
Fremont,56,407
Goshen,56,10
Hot Springs,56,12
Johnson,56,22
Laramie,56,357
Lincoln,56,43
Natrona,56,172
Niobrara,56,2
Park,56,88
Platte,56,4
Sheridan,56,36
Sublette,56,10
Sweetwater,56,157
Teton,56,170
Uinta,56,208
Washakie,56,43
Weston,56,3
