date,Alabama,Alaska,Arkansas,Arizona,California,Colorado,Conneticut,District Of Columbia,Delaware,Florida,Georgia,Hawai,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Lousiana,Masachusets ,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvenia,Rhode Island,South Carolina,South Dakota,Tennesse,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
21-Feb-20,0,0,0,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22-Feb-20,0,0,0,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23-Feb-20,0,0,0,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24-Feb-20,0,0,0,1,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25-Feb-20,0,0,0,1,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26-Feb-20,0,0,0,1,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27-Feb-20,0,0,0,1,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28-Feb-20,0,0,0,1,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29-Feb-20,0,0,0,1,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
1-Mar-20,0,0,0,1,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,0
2-Mar-20,0,0,0,1,30,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,18,0,0,0
3-Mar-20,0,0,0,1,34,0,0,0,0,1,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,27,0,0,0
4-Mar-20,0,0,0,1,48,0,0,0,0,1,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,11,0,0,3,0,2,0,0,0,0,0,0,0,39,0,0,0
5-Mar-20,0,0,0,1,62,0,0,0,0,2,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,1,23,0,0,3,0,2,0,0,1,3,0,0,0,70,0,0,0
6-Mar-20,0,0,0,2,79,3,0,0,0,2,3,0,0,0,5,1,0,0,0,6,3,0,0,1,0,0,0,2,0,1,2,2,0,2,25,0,0,3,2,2,2,0,1,4,0,0,0,78,0,0,0
7-Mar-20,0,0,0,4,119,7,0,0,0,6,5,1,0,0,6,1,0,0,0,6,3,0,0,1,0,0,0,2,0,1,2,4,0,2,77,0,1,6,2,3,5,0,1,8,1,0,0,102,0,0,0
8-Mar-20,0,0,0,4,131,7,0,2,0,9,5,1,0,0,7,2,1,0,0,22,5,0,0,1,1,0,0,2,0,1,4,5,0,4,107,0,1,14,6,3,7,0,3,11,1,2,1,122,0,0,0
9-Mar-20,0,0,0,6,194,14,1,4,0,14,17,2,8,0,13,6,1,3,1,41,8,0,0,1,1,0,0,7,0,4,4,15,0,4,145,3,2,14,12,3,9,1,3,16,2,6,1,162,3,0,0
10-Mar-20,0,0,0,6,221,18,2,4,0,25,19,2,14,0,19,10,1,4,5,92,9,0,2,2,1,0,0,8,0,5,5,23,0,7,173,3,2,15,14,5,10,5,7,21,2,6,1,265,3,0,0
11-Mar-20,0,0,1,10,278,24,3,10,0,32,32,2,14,0,24,10,1,6,12,96,12,0,2,3,1,0,0,16,0,10,5,23,3,7,207,4,2,19,19,5,12,7,8,21,2,6,1,365,3,0,0
12-Mar-20,0,1,5,10,304,49,5,10,4,42,43,2,16,0,32,12,5,10,18,108,12,1,12,10,2,1,0,16,1,11,6,29,5,11,325,5,3,24,22,5,13,8,17,23,5,6,2,457,6,0,1
13-Mar-20,5,1,8,10,406,76,8,10,4,64,43,2,17,0,46,12,6,13,34,124,17,3,25,14,4,6,4,17,1,13,6,50,10,20,434,13,4,30,41,14,13,9,18,37,6,27,2,568,19,0,2
14-Mar-20,11,1,12,12,504,99,20,16,6,96,66,3,18,4,63,19,6,15,85,138,30,3,33,21,5,10,6,32,1,18,7,72,13,21,527,25,4,36,47,20,19,9,32,51,19,37,4,642,27,0,3
15-Mar-20,22,1,16,12,621,130,26,17,7,136,98,6,18,4,92,19,8,21,103,163,30,3,54,35,6,10,6,33,1,18,13,98,13,26,729,37,8,39,65,20,28,9,39,59,21,40,4,769,33,0,3
16-Mar-20,29,3,22,18,740,159,41,22,8,168,120,9,23,4,104,30,13,22,136,197,37,16,54,54,8,12,8,40,1,18,17,176,21,45,950,50,10,47,75,21,33,10,55,60,29,45,8,906,47,0,10
17-Mar-20,39,6,28,20,923,183,68,31,17,216,145,12,29,7,159,30,16,26,196,218,57,31,65,60,8,21,9,40,5,24,26,267,23,55,1544,67,17,65,95,23,47,11,73,76,51,67,12,1006,72,1,15
18-Mar-20,51,6,37,27,1107,183,96,39,26,328,197,15,38,11,287,35,21,33,280,256,85,42,80,77,21,34,12,63,7,26,39,417,28,55,3052,86,29,74,132,33,60,11,98,107,65,77,18,1187,106,2,18
19-Mar-20,78,10,62,44,1318,277,158,71,30,432,283,25,44,23,421,55,34,46,391,328,107,51,334,89,26,50,15,137,19,31,44,740,35,91,5637,119,43,88,184,44,80,14,154,230,78,93,20,1376,155,4,18
20-Mar-20,106,13,100,63,1597,361,193,77,39,652,483,35,44,31,584,123,44,53,535,416,190,56,549,115,72,80,19,137,26,36,55,892,43,153,7848,169,49,114,268,44,124,14,227,304,112,115,32,1524,206,8,22
21-Mar-20,131,15,118,103,1804,475,223,98,45,762,555,45,68,41,752,123,54,53,762,524,190,70,787,137,90,140,27,183,28,45,65,1327,57,158,12208,247,53,137,371,66,171,14,367,338,136,152,48,1790,280,12,24
22-Mar-20,167,23,159,152,2105,591,327,116,56,1005,618,53,90,45,1049,200,63,66,837,645,244,89,1037,169,106,206,34,255,30,49,78,1914,65,194,15832,351,67,161,478,83,193,21,498,365,180,219,53,1996,380,16,26
23-Mar-20,196,37,185,234,2587,720,415,137,87,1227,797,65,104,50,1285,258,78,121,1163,776,288,107,1327,232,182,246,45,289,32,52,101,2851,82,249,20909,431,81,190,644,106,297,27,607,702,257,253,76,2221,414,20,29
24-Mar-20,242,42,221,326,2990,911,618,183,104,1412,1090,84,122,73,1536,360,92,153,1384,1157,349,118,1789,261,255,313,51,392,36,55,108,3675,95,281,25578,562,106,209,851,106,340,30,667,894,298,289,95,2455,455,38,37
25-Mar-20,386,59,295,401,3518,1086,875,231,119,1975,1383,101,145,122,1864,478,125,192,1795,1835,423,142,2292,287,353,374,65,495,45,62,137,4402,112,408,32968,705,164,265,1195,131,424,41,780,1211,345,389,123,2581,584,49,49
26-Mar-20,531,69,327,508,4368,1429,1012,267,119,2458,1633,106,179,189,2540,960,170,242,2303,2414,580,156,2855,344,502,484,89,622,58,73,157,6331,136,536,38976,867,243,315,1687,165,453,46,956,1576,410,459,158,3206,707,49,55
27-Mar-20,639,85,375,663,5226,1732,1291,304,165,3198,2197,118,234,233,3027,960,204,296,2743,3240,773,168,3656,396,663,484,120,763,68,80,187,8825,185,520,44813,1136,243,414,2217,203,539,58,1201,1915,482,603,184,3758,842,96,73
28-Mar-20,717,102,402,773,6058,2061,1524,342,214,4038,2445,151,298,265,3491,1232,264,355,3313,4257,995,211,4650,441,829,484,147,929,93,108,214,10836,208,637,53303,1405,377,479,2750,239,660,68,1370,2225,603,738,211,4289,989,113,84
29-Mar-20,825,114,444,919,6707,2306,1993,401,232,4948,2682,173,336,314,4596,1513,321,387,3537,4851,1242,253,5465,503,888,756,161,1163,97,129,268,13386,234,926,59240,1651,429,548,3393,267,774,90,1579,2663,712,888,234,4896,1112,123,85
30-Mar-20,941,119,503,1154,7643,2624,2395,495,264,5704,3024,202,424,415,5057,1783,369,428,4023,5752,1412,275,6495,576,1032,845,177,1302,109,153,313,16636,281,1009,67194,1933,480,605,4081,406,925,100,1833,3085,804,1018,256,5414,1221,145,95
31-Mar-20,997,133,560,1289,8815,2965,3051,586,319,6741,4110,224,496,525,5993,2159,428,527,5235,6620,1660,275,7613,629,1336,935,198,1491,126,177,367,18696,315,1113,74447,2197,566,689,4839,485,1083,100,2238,3604,887,1247,292,5662,1351,162,120
1-Apr-20,1106,142,621,1414,10172,3341,3372,586,368,7559,4744,258,548,668,6972,2564,482,623,6424,7738,1985,344,9331,687,1590,1064,217,1580,147,214,367,22255,362,1279,82133,2546,720,735,5805,563,1293,129,2681,4268,1013,1482,320,6264,1549,189,137
2-Apr-20,1270,147,678,1596,11397,3724,3650,653,393,9008,5440,285,614,889,7678,3038,550,714,9094,8966,2331,376,10789,742,1832,1178,241,1855,159,254,479,25590,403,1458,90390,2902,877,825,7016,651,1553,165,2844,4954,1076,1702,338,6818,1730,217,153
3-Apr-20,1534,157,732,1769,12755,4173,4697,757,450,10268,5959,319,699,1011,8871,3436,620,775,10169,10402,2758,432,12739,788,2110,1460,262,2093,173,284,540,29895,494,1551,103652,3312,987,898,8420,705,1699,187,3066,5704,1244,2009,389,7119,1916,237,166
4-Apr-20,1632,171,740,2018,14055,4565,5035,902,593,11544,6373,351,785,1076,10357,3948,698,871,12493,11736,3125,456,14222,863,2284,1566,281,2402,186,318,620,34997,545,1752,113892,3738,1157,999,10016,806,1913,212,3319,6363,1422,2406,461,7655,2112,281,187
5-Apr-20,1840,185,853,2269,15356,4950,5453,998,673,12350,6729,371,868,1100,11253,4409,747,970,13010,12500,3609,470,15713,926,2368,1748,296,2585,207,354,669,37505,626,1836,122178,4041,1251,1067,11496,922,2048,240,3631,7007,1605,2634,512,8017,2266,320,199
6-Apr-20,2003,191,924,2456,16545,5172,6642,1097,783,13629,7548,387,945,1169,12258,4942,845,1081,14866,13837,4045,499,17218,978,2720,1848,318,2870,225,401,715,41091,688,1953,130830,4442,1325,1132,12973,1082,2230,285,3800,7583,1675,2875,543,8383,2438,345,212
7-Apr-20,2197,213,991,2575,17706,5429,7489,1211,928,14747,9128,410,1048,1210,13547,5501,899,1140,16284,15200,4370,519,18969,1067,3031,1913,318,3220,237,477,747,44416,796,2098,138988,4782,1468,1181,14559,1229,2415,319,4136,8653,1739,3331,575,8681,2578,412,221
8-Apr-20,2497,226,1075,2726,19191,5655,8415,1440,1116,15698,10198,435,1145,1232,15084,5939,1043,1335,17030,16790,5528,537,20347,1155,3314,2005,331,3427,251,522,788,47437,865,2318,149476,5149,1522,1239,16239,1439,2551,392,4362,9718,1848,3645,605,9094,2755,479,230
9-Apr-20,2838,236,1145,3018,20336,6098,9392,1523,1209,16826,10880,442,1270,1353,16420,6345,1104,1506,18280,18941,6184,560,21506,1245,3534,2258,331,3653,269,576,819,51393,989,2456,159937,5513,1681,1321,18228,1712,2792,446,4632,10563,1979,4042,628,9605,2884,520,239
